"UID","X14.3.3.Beta","X14.3.3.EPSILON","X14.3.3.Zeta","X4EBP1","X4EBP1_pS65","X4EBP1_PT37_T46","X4EBP1_PT70","ACC1","ACVRL1","ADAR1","Akt","Akt_pS473","Akt_pT308","ALPHACATENIN","AMPKALPHA","Annexin1","Annexin.VII","AR","ARAF_PS299","ASNS","ATM","Bad_pS112","Bak","Bax","Bcl2","Bcl.xL","Beclin","BETACATENIN","Bid","B.Raf","B.Raf_pS445","BRCA2","Caspase.8","Caveolin.1","CD20","CD31","CD49b","CDK1","Chk1","CHK1_PS345","Chk2","Chk2_pT68","CIAP","c.Jun_pS73","c.Kit","Claudin.7","CMET","CMET_PY1235","c.Myc","Collagen.VI","C.Raf_pS338","Cyclin.B1","Cyclin.D1","Cyclin.E1","CYCLINE2","DJ1","E.Cadherin","eEF2","eEF2K","EGFR","EGFR_pY1173","eIF4E","eIF4G","ERALPHA","ERALPHA_PS118","ERCC1","ERK2","Ets.1","FASN","Fibronectin","FoxM1","FOXO3a_pS318_S321","FRA1","G6PD","Gab2","GAPDH","GATA3","GSK3_PS9","HER2","HER2_pY1248","HER3","HER3_pY1289","Heregulin","HSP70","IGFBP2","INPP4b","IRS1","Jak2","JNK_pT183_Y185","JNK2","KU80","Lck","MAPK_pT202_Y204","MDM2_pS166","MEK1","MEK1_pS217_S221","MIG6","Mre11","MSH2","MSH6","mTOR","Myosin.IIa_pS1943","N.Cadherin","NDRG1_pT346","NF2","NF.kB.p65_pS536","Notch1","N.Ras","p21","p27","P27_PT157","p27_pT198","p38.MAPK","p53","P62LCKLIGAND","P70S6K","p70.S6K_pT389","P90RSK","P90RSK_PT359_S363","p90RSK_pT573","PAI.1","PARP_CLEAVED","Paxillin","P.Cadherin","PCNA","Pdcd4","PDK1","PDK1_pS241","PEA.15","PEA.15_pS116","PI3K_P110_ALPHA","PKCALPHA","PKCALPHA_PS657","PKC.delta_pS664","PR","PRAS40_pT246","PRDX1","PREX1","PTEN","Rab25","Rad50","Rad51","Raptor","Rb","Rb_pS807_S811","RBM15","Rictor","Rictor_pT1135","S6_pS235_S236","S6_pS240_S244","SCD1","SETD2","SF2","Shc_pY317","SHP.2_pY542","Smac","Smad1","Smad3","Smad4","Snail","Src","SRC_PY416","Src_pY527","Stat3","Stat3_pY705","STAT5ALPHA","STATHMIN","Syk","TAZ","TFRC","TIGAR","Transglutaminase","TSC1","TTF1","VAV1","VEGFR.2","XBP.1","XRCC1","YAP","YAP_pS127","YB1","YB1_pS102","DVL3","FoxO3a","mTOR_pS2448","X53BP1","PI3K.p85","Porin"
"set125_323",0.028621177,-0.044362766,-0.1002030585,0.9821761535,-1.483103582,-1.275597389,-1.275597389,0.140805543,-0.045603405,0,0.657434537,-0.2781283515,-1.3201228995,0.00581298500000005,0.0263518385,0.242831304,-0.06093165,-0.042582947,-0.200049091,0,0.000510311000000041,0,0.238832787,-0.2093557385,-0.101827296,-0.569279066,0.069437483,-0.140275574,0.097819805,-0.217622145,-0.889691544,-0.053856834,0,0.18897352,0.468710059,0,0.4696268655,-0.101728072,0.340690496,-0.7941411475,-0.090512672,0.054596183,0.226623403,-0.713257371,0.191698539,-0.241206944,0.106553144,-0.2373557995,-0.6629625515,-0.105285591,0.406992876,-0.3997105995,0.0288933150000001,-0.058294445,-0.192655324,0,0.433723874,0,0.249865438,-0.1839727145,-0.434375693,0.0408475315000001,-0.163135839,0.1160706855,-0.973490369,0.309498083,-0.109753079,0.00809085500000001,0,-0.2553063055,0,1.0364819585,-0.343331732,0.190444732,-0.297935521,-0.186082609,0.0120968435,-1.0249535605,-0.008280402,-0.1319678395,0,0.1386468475,0.0837120305,0.15840713,0.101502406,0.036710702,0.263440401,0.0172297695,-0.5276778705,-0.1166688835,-0.179986953,0.3208472505,-0.6500536725,-0.331100036,-0.123200607,-0.083468882,-0.141719328,0.071020895,0.140400313,-0.223356438,0.075449868,0,-0.022906296,0.221963208,-0.116309448,0.4235904535,0.293917799,0.142524475,0.127212572,0.1320353195,1.0001766805,-0.6443844115,0.2014140505,-0.0267794835,-0.1043286655,0.092610767,-1.264446029,0.60880827,-0.6588348185,-0.5649320695,-0.405121334,0.6207330945,0.299673534,-0.345010694,0.792407848,0.0509648975,0.175337146,0.6136141805,-0.331827708,0.228089439,-0.084725517,-0.00405216900000001,-0.1670481675,0.2383674335,0.4020906155,-0.4995267945,0,0.039553559,-0.090512672,-0.055098171,0.178853519,-0.002252081,0,-0.081719826,0.456087843,0.091133274,-0.054888333,-0.8034184475,0.0160657385,0.2156882245,0.294679929,-0.3043144735,-0.024683507,-0.2338637545,0,0,0,0,-0.107453509,0.034776177,1.181811048,0.6429557915,0.2145307175,0.0303581945,-0.8590408095,-0.057757595,-0.1051756395,-1.419583206,0,-0.076929139,0.170066268,-0.147854593,0.135206733,-0.0567659190000001,0.021675076,-0.886528037,0.0099367465,0.1789135365,0.1557210915,-0.855701263,0,0.7508916245,-0.293777953,-0.198669508,-0.5638803285,0.6757900755,-0.1076410235,-0.277566171
"set125_324",-0.042880357,-0.028072874,-0.2767349645,0.654141843,-1.6558794725,-1.2400968945,-1.2400968945,0.216284238,0.176576879,0,0.7454204115,-0.3607982795,-1.3419258615,-0.07736917,0.0104649185,0.2024671605,-0.1911443185,0.00306071599999999,-0.2013129285,0,-0.0580258904999999,0,0.200389312,-0.144548462,0.140530569,-0.5099272685,0.006542089,-0.110701229,0.1092136215,-0.336036453,-1.0075290905,-0.2635083365,0,0.1443573745,0.86468393,0,0.5559135255,-0.095083585,0.228715423,-0.9934103795,-0.0809845925,-0.028176168,0.263134618,-0.780408075,0.23248225,-0.248528946,0.1122337145,-0.026843636,-0.8277394715,0.0476849690000001,0.2889721775,-0.316644152,0.00028455049999998,0.0259852875,-0.2246267895,0,0.3182742475,0,0.19056168,-0.3513283105,-0.7310316605,0.1052083185,-0.191672122,-0.020928148,-1.1063001395,0.2969767585,-0.121956443,-0.062828994,0,-0.2406411195,0,1.1029391195,-0.37714581,0.122680355,-0.338587153,-0.2145362805,-0.0463137125,-1.462427815,0.170109536,-0.277852954,0,0.0987361705,0.082462423,0.271297305,0.171945028,0.100010546,0.2786220505,-0.073345623,-0.662147638,0.00366050649999998,-0.13183064,0.401982284,-0.5479451245,-0.5343857285,-0.174931733,0.0235627165000001,-0.0997870005,0.145544731,0.187770855,-0.237022016,0.1050053885,0,0.059485977,0.186970019,-0.137975012,0.4788362365,0.286783644,-0.01802913,0.0811960840000001,0.216146189,1.152760179,-0.834898798,0.3052048515,-0.0502712455,-0.082160587,0.190192056,-1.438100027,0.559768748,-0.654967316,-0.665135679,-0.33104492,0.5511971025,0.203791216,-0.209072253,0.647599847,0.107974034,0.00169764100000003,0.559184748,-0.261735046,0.0347083600000001,0.04232777,-0.060473029,-0.1598866095,0.359560323,0.2591388815,-0.595934306,0,-0.043201673,-0.0809845925,-0.120032905,0.294113711,-0.0569111705,0,-0.1417560615,0.4133987415,0.051407477,-0.029093785,-1.025081789,0.057316036,0.190059258,0.511283886,-0.3577367595,0.0544153685,-0.27680877,0,0,0,0,-0.018935888,0.010123084,1.259638794,0.655470659,0.238359356,0.111334167,-0.943921507,0.045689603,-0.068558101,-1.484643921,0,-0.0395424289999999,0.1166774885,-0.045404585,0.117848239,0.116121769,0.0581283645,-0.8563231825,0.039123055,0.139687581,0.013213247,-0.902517462,0,0.9715177525,-0.208105891,-0.2050010885,-0.4951708435,0.785803285,-0.0181944675,-0.304323352
"set133_278",0.066769726,3.173344569,0.1859913535,1.7270479325,-2.860459904,-1.573200157,-1.573200157,2.2915335215,-0.016919009,0,1.6234670245,5.1795243325,4.4341481105,0.139334851,-0.62810519,0.1015218955,1.5916957375,-3.046228755,-0.6525117395,0,1.067454283,0,0.049300203,0.711147382,2.654176711,11.965568411,0.335412469,-0.362679367,-1.3522372195,0.3229594305,-1.056687218,0.0219328435,0,2.3004429275,2.44736222,0,6.1515743795,2.6426004835,-0.61546544,2.22249181,0.2680427135,3.049436325,0.172264912,-0.8684537775,-1.675321705,-0.209924242,0.093003359,2.893713177,1.805403498,-0.867823406,0.679898081,0.656162765,3.1008716905,0.551656994,2.74716681,0,0.9560010425,0,2.319391446,0.32303096,-0.24485249,5.771433028,2.1763187885,-0.6994361,-1.1358826115,-1.114197977,0.344532224,3.840378327,0,1.7734553735,0,-1.0520051505,0.2277215985,-0.303753356,1.1749489635,-1.622529446,0.9764759225,-1.1301074005,2.1029652495,0.8906255395,0,5.6719605955,1.3975774705,0.478375255,-0.20911869,1.439365598,1.5177554755,0.9883218055,5.1650397405,0.8648806345,-0.197936959,-1.9395376415,2.1863995775,0.6616649625,-1.659497157,1.0067566315,-0.4992850525,1.367570931,-0.7327222385,2.953918164,-1.196562016,0,-0.570331864,-0.264476987,-1.117926835,-0.718394017,-0.162512077,3.1192134265,2.7180830465,0.711604036,1.110307428,2.752372137,1.5003074995,-0.2649002095,2.4228524365,-0.112805294,-0.563849577,0.093309331,-0.5735907835,-0.8146530875,-0.563094904,-0.8015536615,1.4760355385,-0.764605122,-0.9542704965,0.770184884,-0.342905541,1.224337144,2.54581872,-0.182082745,4.006635096,0.095526848,4.0021681675,1.288103571,-0.186177441,-1.2808819795,0,0.04696142,0.2680427135,-3.874547497,0.408682834,0.88613564,0,0.7280881395,1.9752170455,-0.191087827,4.147727486,-0.32230371,-0.233869767,3.093955896,-0.198875205,-0.9767922495,-1.39378274,-4.979809063,0,0,0,0,2.908281391,-0.880026723,1.663660466,2.6896903935,-0.3302110235,0.972863387,4.5731590745,2.452580841,-5.733323791,-2.507208513,0,0.882876885,-0.4589867305,0.14463555,-0.162541439,4.744624916,-0.953918456,0.591891384,-1.8808427695,-3.254823356,1.1213282655,-1.172835159,0,-0.463721097,1.06997444,0.529652964,-1.170760901,2.3507480255,2.859164999,-0.581256016
"set133_279",0.180009446,4.090281796,0.5998406725,2.7521403595,-2.8354881115,-1.6640759685,-1.6640759685,3.385323064,0.499723475,0,3.1601158135,7.4141932255,6.0908551475,-0.471762095,-0.626315273,-0.3931838285,2.3902899935,-4.726682993,-0.7308131755,0,1.1008192795,0,-0.051255344,1.2783625725,3.1748458705,14.496580528,0.236228353,-0.573572006,-1.1066375725,0.2119469925,-1.041494507,0.1623569375,0,3.2015371845,2.996072516,0,7.639280591,3.0011256555,-0.909306007,2.654648198,0.1533890815,3.86684213,-0.109986449,-0.830640227,-1.53972756,-0.467456106,0.0755185295000001,4.3737737095,3.246203487,-0.653199007,0.3533485005,0.240114442,2.654792009,0.39707547,4.928588149,0,0.27306857,0,2.073539786,0.323431238,0.1570524095,8.692368625,3.5133085715,-1.1001383105,-0.421289659,-1.1993449435,0.38339665,5.097140028,0,1.548920514,0,-1.189793635,0.689119383,-0.341551792,1.132102055,-1.500889161,1.0826731715,-1.1310901975,2.248515724,0.576645994,0,6.8571721615,1.956084145,0.121923856,-0.341833031,-0.502824602,2.596460779,1.6084560385,6.1098796965,1.079464379,0.00722574399999999,-2.7578644615,3.648691153,1.111454776,-1.924296838,1.291987225,-0.3065050445,0.943016176,-0.3799152205,3.030654628,-1.6012569445,0,-0.302560529,0.157086486,-0.902873683,-1.212308634,-0.385753582,3.9166163515,4.4812571815,0.0464815464999999,0.5402159265,3.9267297435,1.419596908,0.1924494805,3.1634504815,-0.390844643,-0.4408365035,-0.041920632,-0.5120696265,-0.5381198485,0.6665567555,-1.16189841,2.542385017,-1.057347682,-2.1163287345,0.991612955,0.0261736730000001,1.9710453735,3.514311672,-0.237451231,1.004495138,-0.213583752,4.847547817,1.2426223815,0.0385499310000001,-1.045818338,0,-0.221928555,0.1533890815,-4.309908477,-0.357460557,1.113975681,0,0.6718563395,3.2347875705,0.512561438,4.096323678,-0.4685953865,0.0231972659999999,3.652805285,0.138966767,-0.386403627,-0.998701437,-5.6044401215,0,0,0,0,3.894979264,-0.7623029455,1.737960825,4.222494218,0.394283906,1.4926488255,7.1350309805,3.124387074,-8.015620026,-2.19579816,0,1.653441707,-0.6010523685,-0.284413132,-0.429569931,5.545543143,-1.4579436075,1.1113229715,-2.8378236095,-4.6955466925,1.9897938315,-1.522881216,0,-1.150903528,1.013066546,1.1338028465,-1.2315807325,3.6724837755,3.600037365,-0.548988483
"set133_254",0.273966754,4.969198706,-1.970361393,2.858679591,-3.22272024,-1.668224769,-1.668224769,2.2387831935,0.551086429,0,2.649215201,10.03352824,8.465965114,0.322317369,-1.107955872,0.034429799,3.515089838,-6.463205392,-2.0311829685,0,-0.2483658035,0,0.114143714,-1.396288794,4.172554059,15.86912168,0.442122324,0.319496347,-1.141837492,0.4121263485,-0.2592643795,-0.875948675,0,4.341277237,0.957514404,0,9.3102304245,3.0461425005,-4.595688591,3.535653183,-0.048698102,4.740078753,-0.206799869,-1.450540555,-1.668021189,0.146937498,1.487419073,5.131467065,1.8660465645,-1.237696162,-1.821693871,-0.3072728525,-2.0442782625,0.5813075755,4.4454564565,0,-0.00340742049999998,0,1.773089534,0.2607400535,0.8826638965,10.0083129235,1.3075364395,-2.8903132745,-1.005483374,-2.278826744,0.464215295,7.163064538,0,2.0284269595,0,-1.383347382,0.892145565,0.066230131,1.482639961,-2.5643492275,3.7904560595,0.3861380955,4.6343252055,1.6439031015,0,7.577898763,3.0916243405,-1.133916693,-0.616186028,-0.094376115,2.477589514,3.057399448,7.107315306,2.0706819395,-0.299524906,-4.1284972925,5.505327735,1.803600206,-2.864931391,3.458212175,-0.160456418,2.807759466,-0.7849913925,4.045939945,-2.200633765,0,-0.257774146,0.11238972,-0.344291463,2.8765075015,0.139960703,5.894649256,4.0539955125,0.257945586,0.145786824,5.698606352,2.3279965345,-1.628121709,4.2925924315,0.110677513,0.0379382245,-0.506656006,-0.8223315025,-1.6075362325,1.636750625,-1.666541677,3.9501391395,-1.171571241,-2.8830864135,1.0288889255,-0.927918375,2.059041059,3.625033231,0.0243273580000001,-0.004783722,-0.051473015,6.424486755,3.004506312,0.231720811,-1.805874972,0,0.384489868,-0.048698102,-3.709349965,0.277139577,1.2512013755,0,0.973877801,4.7635282135,0.440554749,4.657949404,0.431828863,0.137629332,5.992292326,-1.523229197,-0.8243563365,-1.7495757925,-7.94049649,0,0,0,0,4.631136034,-0.9174476995,1.246813763,5.249879374,0.976277388,0.5992768685,9.8039719595,4.183917333,-9.4254644255,-2.350637188,0,1.274134945,-1.335731218,-0.541405472,-0.240575625,6.463855427,-1.579022838,-0.706647032,-3.542055192,-5.3873494165,2.973328115,-0.948765189,0,0.750536083,1.91069554,1.646424608,-1.076205586,4.151918235,4.590181335,0.439109737
"set133_253",0.113673002,5.946494985,-0.6114798935,3.1469782325,-2.8227229265,-1.5216579335,-1.5216579335,3.613246596,0.448229182,0,3.9639293465,10.8784255775,9.9912908815,0.246247722,-0.549410454,0.1145178405,4.1335630265,-6.309935381,-1.887952404,0,2.047389931,0,0.243255181,0.0911637780000001,5.4547978955,20.479914459,0.270916696,0.366940525,-0.9160203805,-0.0460075999999999,-0.3530401295,-0.529523618,0,4.1085728455,1.842320208,0,10.293916378,4.612405786,-1.420677449,5.03072624,-0.0131673295,4.32151011,-0.046081021,-0.9090149265,-1.368475752,0.072738336,1.328166322,6.159947249,4.788424648,-0.943152535,-1.127628676,-0.178577907,4.4586380165,0.749450733,5.635253055,0,-0.1544486655,0,1.241376415,-0.00108737250000002,0.916345726,11.689346416,2.9303996945,-0.3425574045,-0.0732498705000001,-2.0090345895,0.267201257,7.167521983,0,2.883932645,0,-1.2120805315,1.188732972,-0.00784184899999996,1.4228489335,-1.863809395,3.9841515355,0.1979358685,4.4042556835,1.4696642145,0,7.8767623325,2.6375323165,-0.6432773755,-0.385022551,0.21198216,3.3425746655,2.8632331765,8.141738324,2.643052669,-0.086019495,-4.5100023345,6.5900838565,1.5526530045,-2.63908249,3.8559740075,-0.5314027785,1.72180849,-0.6587749445,5.338130485,-1.9731130155,0,-0.142150568,-0.188390536,-0.476201522,-0.215619722,-0.039876926,5.421192089,7.3178956325,0.303097452,0.0375734690000001,6.48939383,2.812366659,-0.1277894455,4.6050950225,-0.067281339,0.0401202805,-0.15838406,-0.4003520335,-0.7439034335,1.8925302395,-2.3609303325,3.757448965,-0.800781187,-2.8743173655,0.8822237375,-0.433969361,2.2678413,5.45178167,-0.205631295,3.688934706,-0.037127915,6.446326855,2.3741134415,0.629217436,-1.510049346,0,0.213118261,-0.0131673295,-5.397020995,0.050666541,1.03410361,0,0.6209227085,4.649114728,0.224815769,5.372202301,0.0662018315,-0.0809546365,5.5822824365,-0.642608115,0.616048106,-1.304360892,-8.179234425,0,0,0,0,5.702412877,-0.36521998,1.423227135,5.853889795,1.84329451,1.618217938,10.682818555,5.263964014,-11.3557280205,-2.122483641,0,1.259290227,-1.3363179775,-0.309976591,-0.129889408,7.307775357,-1.6261933165,1.0400652965,-3.8792045535,-5.782683811,2.8518444915,-1.046553551,0,-1.1258748805,2.012532187,1.4752853615,-1.0993183845,4.2606485735,5.761503249,0.016792117
"set133_233",0.031375002,8.11568873,-2.121977085,4.9121128675,-2.8929973655,-1.5020733675,-1.5020733675,3.021177744,0.454783727,0,3.6404012375,13.050854478,12.077523617,0.488675481,-0.9685434475,0.0927449865,5.7305304375,-10.158318705,-2.8060482545,0,1.483462447,0,-0.087061328,-1.278731939,6.6034247425,20.971029816,0.394128224,0.357272697,-1.9439570645,0.5808599715,-0.2536573565,-0.6026327555,0,5.8467959275,0.271212994,0,11.7868154205,5.219335372,-4.395247142,6.66700818,-0.0105273895,11.074471412,-0.097982969,-1.5354257865,-1.824148662,0.23838589,1.4818629065,7.2253800895,3.0608466635,-1.306103668,-2.2119913985,-0.5421654725,-1.1419913015,1.2184056735,6.5543207665,0,-0.0873573825,0,2.220207943,0.4796248915,1.112386454,15.433521316,2.3203906655,-1.9828793025,-0.196615734,-1.4573371065,0.410205076,6.7535340075,0,3.6945408965,0,-1.2735675095,0.118118153,0.166479864,0.631231986,-3.0475529435,4.077389344,-0.705044188,4.987800008,2.548922145,0,9.7039403965,1.9752271845,-0.834309421,-0.436841303,0.332189234,4.942388309,5.0815588395,10.527709766,3.4024170325,0.050357553,-4.465681439,8.547452084,2.667184311,-2.741301892,5.571752977,-0.8480487135,2.338978686,-0.543255475,6.758408023,-1.4069632385,0,0.150179396,-0.342978771,-0.430916881,3.1004058475,0.002070667,5.8954016725,8.425806393,-0.0424710655000002,-0.8602152575,7.7419523115,3.6803442285,-1.75684885,4.792319368,-0.018198244,-0.123957453,-0.166341037,-0.994589591,-2.107697002,2.488983481,-2.9706693835,5.643938143,-0.386355672,-4.41186097,0.7979365165,-1.272255204,2.087381821,5.322359717,-0.1614311455,0.82427023,0.277976836,8.06395976,3.1344305425,0.1399593545,-1.942928295,0,0.262964078,-0.0105273895,-5.220876223,0.03567892,0.9870147135,0,0.6937741715,10.148912932,0.289154657,6.438453867,0.532998954,-0.4563848205,5.4708601315,-1.47586702,1.1249998095,-1.4322061435,-10.677509219,0,0,0,0,6.584022321,-0.66082256,1.385286075,7.495690829,1.524672832,2.133765724,12.809614032,6.770712259,-15.6047844005,-2.065683806,0,1.639719564,-1.6423460315,0.184496912,-0.110088525,8.703136496,-0.9050091725,-0.7050011865,-6.1095641395,-6.594839754,4.5057070595,-0.8760072505,0,-0.875655576,0.967388148,0.6117865305,-1.3679497165,5.9912896525,6.9075912555,0.187204587
"set133_257",0.023565813,3.361923769,0.032999716,2.0274658345,-2.5931374925,-1.5448083055,-1.5448083055,2.602435447,0.19673534,0,1.8669100985,6.356185272,4.990254705,0.027004435,-0.226395377,-0.3272531625,1.9021994455,-3.187199993,-0.8112177735,0,1.1669203825,0,0.064649576,0.723344768,2.565617271,9.8483076225,0.228642294,-0.153847218,-0.8669178185,-0.011142052,-0.4128210945,0.105833445,0,2.8202117575,2.624460727,0,6.274921584,2.577385659,-0.155154943,2.102919731,0.1290315075,2.378202356,-0.167699247,-0.7273859555,-1.062951239,-0.325620073,0.4388962985,3.6092900945,2.100934939,-0.817559443,0.2760767105,-0.223365783,1.3567991135,1.35193879,3.026576316,0,0.052518384,0,1.760497934,-0.3505365365,0.4589599915,5.9294102625,1.7957885285,-0.205629201,-0.3529484775,-0.2699258615,0.393337597,2.4562568795,0,0.911355215,0,-0.7780762435,0.102308605,-0.269335361,-0.0698859665,-1.714838943,0.529291754,-0.1369581425,1.525176832,0.3972877525,0,6.2324217505,0.5220888215,0.0220768865000001,-0.319779654,-0.231765997,1.9261845245,1.1206488425,5.321051791,0.756307895,0.021442257,-1.4758678735,3.434993619,0.9386583295,-2.408870585,1.09116163,-0.4266364535,0.753642721,-0.5411444345,2.435731465,-0.5232034115,0,-0.35165651,0.03539445,-0.836278729,-0.7619022435,-0.178843639,1.861703179,3.419744499,0.0689634165000001,0.593570386,3.231895486,0.881932785,-0.00961198800000002,1.5957450285,-0.326199279,-0.349416762,0.070686481,-0.410322374,-0.510657895,0.2904328055,-0.976551601,1.8018769285,-0.982621698,-1.6369753825,0.6527627365,-0.115378021,1.7854336085,2.934296927,-0.1359834935,-0.078393169,-0.055512353,4.285082305,1.408871808,0.448221502,-0.910889382,0,0.073326462,0.1290315075,-2.7015582,-0.259890375,0.9464584,0,0.6973577695,2.3494639125,0.474134863,3.085424996,-0.463017157,-0.0663690425,3.0424934765,-0.015625788,-0.534655393,-0.961026537,-5.1305303935,0,0,0,0,3.099235981,-0.4778962535,1.694639853,3.957081029,0.884722373,0.691474902,5.2830101,2.145083234,-6.0407238035,-2.275997001,0,1.531810233,-0.5116039805,-0.791995512,-0.076692775,4.320710352,-0.1889301995,0.3563861745,-1.9496602145,-2.903856676,1.4899032755,-1.2207573415,0,-0.584418054,0.993554498,0.0375262294999999,-1.0609570515,2.8124312555,2.804947533,-0.414040993
"set125_320",0.025486495,-0.024495448,-0.09091777,0.3546269465,-1.387545135,-1.013497967,-1.013497967,0.29906338,-0.150839254,0,0.5684959165,0.0289338795,-1.3257803525,-0.077039047,0.0174632805,0.1540089885,-0.1729296455,0.046243139,-0.101060379,0,0.000272774000000031,0,0.171029532,-0.037970023,0.315383221,-0.374424713,-0.00581611400000001,-0.038118624,0.2889257885,-0.1181637055,-0.9302354515,0.1383024125,0,-0.0254672125,0.892059285,0,0.5626823145,0.091813593,0.188695502,-0.654647278,-0.0004051635,-0.037464017,0.025091,-0.751075885,0.138652623,-0.145873775,-0.06000237,-0.1423890055,-0.3950841885,0.0213095830000001,0.1698054755,-0.3188807205,0.205460212,-0.0218094185,-0.2256712345,0,0.231933914,0,0.179501033,-0.3134715475,-0.6372417785,0.1438573745,-0.0648789875,0.02491913,-0.8642801765,0.37930293,-0.028803783,0.193460106,0,-0.0293613015,0,0.994735729,-0.1379172755,-0.083993183,-0.1326066095,-0.2120034245,-0.0210138115,-1.28953217,0.04361273,-0.380213691,0,0.2216628335,0.19310824,0.515819861,0.117406543,0.183446915,0.171993644,-0.1739006715,-0.537405682,-0.0842565815,0.011774661,0.2181401745,-0.692872452,-0.365035897,-0.199794727,-0.007899188,-0.0795471285,0.204793313,0.024228969,-0.216769993,0.000681983999999997,0,0.095450624,0.252476834,0.052392677,0.308614244,0.250650213,-0.0340065809999999,0.2569866195,0.158005396,1.1165643225,-0.6770395175,0.2798103435,-0.108137163,0.0385072395,0.144228599,-1.176550273,0.271624242,-0.7097003155,-0.7034977475,-0.315149827,0.6179873435,0.1329184445,-0.300287221,0.645494427,0.00717735750000001,0.106087816,0.3967148835,-0.18729925,0.343369867,-0.047210559,-0.112694256,-0.2589454605,0.25671152,0.3287329815,-0.0179414955,0,0.011899058,-0.0004051635,-0.106005563,0.324382192,-0.0295591345,0,-0.1751164425,0.652386531,0.127734325,-0.095416918,-0.8058599335,0.097989262,0.419738506,0.362508944,-0.1044233275,0.2276439085,-0.2984845685,0,0,0,0,-0.058280455,-0.0771902275,1.095774518,0.5049774515,0.1398333155,0.237181421,-0.70964654,0.078378447,-0.329167182,-1.105160778,0,-0.0088080009999999,0.3278009075,-0.206363516,0.081692717,-0.100796491,-0.164786619,-0.569917311,0.0729820605,0.027818475,0.1582390785,-0.836841161,0,0.601764729,-0.089302194,-0.215367317,-0.123435904,0.6339739285,0.076843138,-0.231144087
"set133_256",0.039830067,3.107189785,0.154356044,2.056924879,-2.7088114065,-1.6877037095,-1.6877037095,2.860060056,0.001681456,0,1.949890728,5.1275623415,3.5669195105,-0.216848925,-0.136336102,-0.372705581,1.890249236,-3.117396424,-0.310756052,0,1.0865775465,0,0.057481329,0.855014072,2.215326899,8.242052179,0.190113831,-0.198964544,-0.64372047,-0.438935333,-0.7072280105,0.212574419,0,1.71571634,2.817405584,0,5.4554769155,2.147264468,-0.282933129,2.1936495225,0.163930484,2.333989614,-0.146934193,-0.5705289685,-1.325876383,-0.297221894,0.333241144,3.2371509435,1.9474834305,-0.675570262,1.432553768,0.2531641,1.458464622,0.74116502,2.847269403,0,0.096085913,0,1.514083648,-0.40581661,-0.184455499,5.5528122005,1.802472394,-0.320488463,-0.547764245,-0.1602075265,0.322962535,2.3744735745,0,0.9711352915,0,-1.540163055,0.0519179755,-0.374477685,0.00828839350000005,-1.605052613,-0.1581778175,-0.4239788025,1.1473038295,-0.0821352410000002,0,5.45771067,0.5567051765,0.495299311,-0.257352732,-0.285716891,1.330416146,0.8423706,4.3125707315,0.5960060135,0.117422577,-1.110338769,2.4262247715,0.428919176,-1.784072495,0.4639269535,-0.445947165,0.897829185,-0.502234939,2.387928002,-0.5222435055,0,-0.240372294,0.21772659,-0.918635435,-1.0034890895,-0.3903104,3.01605937,2.8818409625,0.222630369,1.0438463405,2.2459269365,0.8781503755,0.049642335,1.568097729,-0.363770866,-0.6967044915,-0.131928543,-0.5136231025,-0.1677585705,0.0238155965000001,-0.741841556,1.678900068,-1.206190498,-1.716291857,1.038286087,0.00695223500000008,1.2719801145,2.407645137,-0.1454062685,-0.124115961,-0.035900512,3.2922069005,0.574501975,0.431928578,-0.81524803,0,0.067862827,0.163930484,-2.770166753,-0.187858088,0.963587805,0,0.694598566,2.3316286875,0.535022367,2.933267591,-0.8587316185,-0.0116892035,3.0663730315,0.322922326,-0.8189772895,-0.665435793,-4.0150035305,0,0,0,0,2.829389596,-0.546844328,1.917063576,2.857964964,0.47221158,0.8444249625,3.966663424,2.091708447,-4.9960638245,-2.372504875,0,1.24889882,-0.478329184,-0.282151626,-0.110445697,4.070436462,-0.4459089455,-0.3865517745,-2.018526065,-2.0686423985,1.551321574,-1.3662940525,0,-0.8856313765,1.110846951,-0.1201795755,-1.21990086,3.079026507,2.6042338675,-0.442785105
