"UID","X14.3.3.Beta","X14.3.3.EPSILON","X14.3.3.Zeta","X4EBP1","X4EBP1_pS65","X4EBP1_PT37_T46","X4EBP1_PT70","ACC1","ACVRL1","ADAR1","Akt","Akt_pS473","Akt_pT308","ALPHACATENIN","AMPKALPHA","Annexin1","Annexin.VII","AR","ARAF_PS299","ASNS","ATM","Bad_pS112","Bak","Bax","Bcl2","Bcl.xL","Beclin","BETACATENIN","Bid","B.Raf","B.Raf_pS445","BRCA2","Caspase.8","Caveolin.1","CD20","CD31","CD49b","CDK1","Chk1","CHK1_PS345","Chk2","Chk2_pT68","CIAP","c.Jun_pS73","c.Kit","Claudin.7","CMET","CMET_PY1235","c.Myc","Collagen.VI","C.Raf_pS338","Cyclin.B1","Cyclin.D1","Cyclin.E1","CYCLINE2","DJ1","E.Cadherin","eEF2","eEF2K","EGFR","EGFR_pY1173","eIF4E","eIF4G","ERALPHA","ERALPHA_PS118","ERCC1","ERK2","Ets.1","FASN","Fibronectin","FoxM1","FOXO3a_pS318_S321","FRA1","G6PD","Gab2","GAPDH","GATA3","GSK3_PS9","HER2","HER2_pY1248","HER3","HER3_pY1289","Heregulin","HSP70","IGFBP2","INPP4b","IRS1","Jak2","JNK_pT183_Y185","JNK2","KU80","Lck","MAPK_pT202_Y204","MDM2_pS166","MEK1","MEK1_pS217_S221","MIG6","Mre11","MSH2","MSH6","mTOR","Myosin.IIa_pS1943","N.Cadherin","NDRG1_pT346","NF2","NF.kB.p65_pS536","Notch1","N.Ras","p21","p27","P27_PT157","p27_pT198","p38.MAPK","p53","P62LCKLIGAND","P70S6K","p70.S6K_pT389","P90RSK","P90RSK_PT359_S363","p90RSK_pT573","PAI.1","PARP_CLEAVED","Paxillin","P.Cadherin","PCNA","Pdcd4","PDK1","PDK1_pS241","PEA.15","PEA.15_pS116","PI3K_P110_ALPHA","PKCALPHA","PKCALPHA_PS657","PKC.delta_pS664","PR","PRAS40_pT246","PRDX1","PREX1","PTEN","Rab25","Rad50","Rad51","Raptor","Rb","Rb_pS807_S811","RBM15","Rictor","Rictor_pT1135","S6_pS235_S236","S6_pS240_S244","SCD1","SETD2","SF2","Shc_pY317","SHP.2_pY542","Smac","Smad1","Smad3","Smad4","Snail","Src","SRC_PY416","Src_pY527","Stat3","Stat3_pY705","STAT5ALPHA","STATHMIN","Syk","TAZ","TFRC","TIGAR","Transglutaminase","TSC1","TTF1","VAV1","VEGFR.2","XBP.1","XRCC1","YAP","YAP_pS127","YB1","YB1_pS102","DVL3","FoxO3a","mTOR_pS2448","X53BP1","PI3K.p85","Porin"
"set132_218",0.098058693,-0.00699866099999999,1.104099947,0.7817316655,0.415904638,-0.0637812730000001,-0.0637812730000001,-0.586026443,-0.437227172,0,0.0723445245,1.377044174,0.174665214,0.157665198,0.1444722555,0.1182320455,1.7324418765,-0.232485771,-0.361723891,0,0.6516513565,0,-0.041678215,0.7400379065,-0.178337073,1.424818583,-0.25945162,-0.217918253,-0.3883069345,-0.2432133875,0.670219701,0.2835832245,0,0.1587404735,1.170712529,0,0.2356556965,-0.5249336805,0.915492113,0.543769898,-0.0279636095,-0.249435227,0.25022881,0.1790906065,-0.113475802,-0.320115798,-1.445521498,-0.2040251335,0.86219978,-0.400361832,-0.126531429,0.4267776985,1.905781331,-0.218004796,-0.123806947,0,0.6203240075,0,-2.77274474,0.120760749,0.272202688,-0.7493516615,0.3613374175,1.2213896425,0.205419888,0.4519292705,0.166412155,0.322310902,0,-0.0149301785,0,-0.2272302835,0.76173262,-0.2302571,0.044722711,0.07517475,0.875486105,2.0721794325,0.372220903,1.0081715495,0,-0.3333305515,-0.0352804905,-0.27303258,-0.046440586,0.051149879,0.534602929,-0.9750071055,0.357010373,0.1778077835,0.19974203,-0.234226796,0.6799614365,-0.084551077,0.201962747,0.7782438395,0.1532358455,-0.584436695,0.0169838515,-0.124292489,-0.0132313645,0,-0.07666584,-0.149459294,0.546290952,-1.4320029045,0.179938497,0.5269408645,1.197858724,0.4546291975,0.1726377155,0.1718503945,-0.2687108345,0.669246549,0.152026444,-0.119849458,0.115522878,-0.164660712,-0.0154295415,0.1310408385,0.1354538495,0.066848454,0.3012595885,0.316251247,-1.2358394085,0.0540230475,0.408648905,-0.3673787105,0.167774522,-0.049944191,0.168662756,-0.136060144,0.234976506,0.1022926635,0.4585784425,0.2441696095,0,0.094679632,-0.0279636095,-0.039415173,-0.385178305,0.314950104,0,-0.0289116315,0.286762197,1.875884861,0.236974355,0.150270865,-0.3916289445,0.2366386565,-0.249973552,-0.0855688395,-0.043440112,-0.51514862,0,0,0,0,-0.072815483,0.009493315,-0.570142154,-0.149426652,0.193159412,0.103000366,-0.002097984,0.277590159,-0.5055812585,0.603527266,0,0.642650563,-0.3067449455,-0.067940795,0.205880974,0.600518699,0.0440236485,-0.4271382435,-0.0771594745,-1.204394131,0.1317812315,0.336948225,0,-1.132995743,-0.112336793,0.0826267005,0.0265329295,0.1523966555,-0.00226784799999999,-0.26261496
"set132_203",0.093602914,0.019734526,0.5674820305,0.899268813,0.5057341475,0.0299427905,0.0299427905,-0.6610560025,-0.44964465,0,0.129910065,1.5896427655,0.7109680995,0.211433422,0.0450667775,0.155003305,1.583588446,-0.356233902,-0.3879090135,0,0.4053272875,0,0.123709284,0.1596968205,-0.11026997,1.194679416,-0.141285023,-0.16535174,-0.50247962,-0.424490358,0.8285584545,0.278254368,0,0.195176627,1.789273312,0,0.3822860685,-0.713144378,0.430376965,0.4712901055,0.016384525,-0.309640676,0.327410438,0.182605442,0.139987038,0.000685395000000033,-1.530405045,0.0123190515,0.612619876,-0.465995342,-0.526586463,0.7704079355,1.726849971,-0.105492384,0.127313533,0,0.256404351,0,-2.907242351,0.1154036815,0.149232104,-0.5708471405,-0.031770168,1.109359799,-0.0384023809999999,0.361761009,0.153882609,0.2359714365,0,-0.0892621655,0,-0.7458617945,0.758304706,0.055151109,0.001632246,-0.066614102,0.7791297755,2.4312865605,0.3110697255,0.8621270425,0,-0.3236614345,-0.0178483135,-0.240595828,0.160343226,0.075823451,0.1651842995,-1.00133437,0.587916291,0.2965322425,-0.032285724,-0.2292501085,1.153475234,-0.2094247445,0.208434376,1.4286682,-0.06839909,-0.57540796,-0.23665805,-0.083908478,0.039262154,0,-0.150330881,-0.423126871,0.14617779,-0.457757813,0.180317285,0.768530671,0.2171577675,0.6962863435,0.216803552,0.251551585,-0.2831064755,0.1006972605,0.1241073385,0.017811421,0.2721195445,-0.365499632,0.0688505845,0.0909813515000001,-0.2795461045,-0.0422721955,0.312858678,0.519630553,-1.380609244,0.2666688105,0.527019249,-0.476915717,-0.115626425,-0.08828307,0.19514204,-0.176999111,0.130086843,0.0615639380000001,0.3473192815,0.411803452,0,0.190691295,0.016384525,0.175486149,-0.231136684,0.240655284,0,0.362684213,0.2665279565,1.902289559,0.21181244,0.1214142095,-0.294009682,0.268754609,-0.25433156,-0.0723892755,-0.54142657,-0.4957305355,0,0,0,0,-0.175886958,-0.022058474,-0.642545535,-0.3846958315,0.2399448005,-0.0104432095,0.526583165,0.326738985,-0.3556654205,1.058751368,0,0.095407406,-0.199586721,-0.121774017,0.38071675,0.524348406,0.065412154,-0.553371783,-0.10044428,-0.3635646795,0.117055367,0.394195668,0,-1.0025171635,-0.106742873,-0.000299156999999994,0.1043896615,0.243567734,0.00494029400000001,-0.164190822
"set132_204",0.03386909,0.039696759,0.1576658015,0.774573843,0.7943354635,0.2582457515,0.2582457515,-0.6882785275,-0.658073477,0,0.5557370125,2.139825769,1.315458743,0.177113906,0.176467091,0.1600203995,1.6141844165,-0.15091679,-0.5668149385,0,0.470433032,0,0.143095333,-0.2647688805,-0.1851167355,0.6798114255,-0.152549656,-0.129770587,-0.4981207125,-0.504140187,1.1160385965,0.4316656645,0,0.2583923785,1.768283579,0,0.3425764225,-0.5479581835,0.610577946,0.6232350515,-0.0159386785,-0.386393294,0.301715579,0.22765238,0.164228835,-0.027751307,-1.174146019,-0.1291511205,0.658118217,-0.419297798,-0.79701279,0.7038106805,1.9754335535,-0.183787194,-0.013847766,0,0.5407926305,0,-2.789237768,0.0673025075000001,0.562925915,-0.565666326,-0.4619514755,1.1798172045,0.687690667,0.375719042,0.106397765,0.176681509,0,-0.0789092574999999,0,-0.9020836545,0.7396742095,0.016643658,0.1197137235,0.03238389,0.715949018,2.763521533,0.278388587,1.137467027,0,-0.3327467095,-0.05699467,-0.18236147,0.174494482,0.0613559,0.371409663,-0.743588455,0.724411618,0.2263397585,0.000395275,-0.1728163805,1.4400614355,0.1141766375,0.222055486,1.5563130955,0.0905636715,-0.673913585,-0.0470911255,-0.080215977,0.053039759,0,-0.162262055,-0.229175662,0.479291721,0.3386344655,0.158180958,0.7290764,-0.0419779215,0.7787001735,-0.1097055685,0.5846746125,-0.3659132065,-0.2458761395,0.0994899735,-0.01866291,0.441762045,-0.400435502,0.0361414055,0.1579451665,-0.192133403,-0.0782091015,0.221628368,0.494480942,-1.7324684885,0.2474202175,0.48204542,-0.345164367,-0.197038207,0.00252991300000005,0.199171871,-0.17304466,0.3629066165,0.1061037135,0.43692968,0.5736790915,0,0.178155811,-0.0159386785,0.125407097,-0.279747227,-0.043763132,0,0.1712903135,0.232748711,1.899770319,0.175294473,0.2404370555,-0.0103996585,0.3775422605,-0.320600742,-0.1338929935,-0.013460771,-0.654398653,0,0,0,0,-0.105810764,0.012413594,-0.60404468,0.0806836899999999,0.321551333,0.074415866,0.9693631735,0.305059465,-0.504223303,1.016279386,0,0.10080969,-0.1391857405,-0.348811703,0.237553844,0.522056799,0.012187089,-0.577544685,-0.006732315,-0.667023243,0.067971194,0.529893295,0,-1.2303093885,-0.145566966,-0.061487426,0.346519211,0.228963506,-0.0289308605,-0.064107214
"set132_217",-0.030816535,-0.026099413,1.356598156,0.6629345245,0.5807738685,-0.0081372535,-0.0081372535,-1.016576356,-0.58838403,0,0.4721517205,1.924787741,0.74554761,0.177028831,0.070448209,0.2559058465,1.7351484095,-0.233949255,-0.422492772,0,0.8552324905,0,-0.024322656,1.1542896865,0.00909610850000003,1.839639257,-0.18901504,-0.263294403,-0.4276194845,-0.076090562,0.812281613,0.526994013,0,0.1689280105,1.792002796,0,0.209986134,-0.36831888,1.394279589,0.386300428,5.72695e-05,0.063273098,0.170337056,0.1630557165,0.387003728,-0.223215665,-0.816801123,-0.237292334,1.617412468,-0.41786833,-0.5049764635,0.514106948,2.429957508,-0.254643687,-0.199897224,0,0.7701950945,0,-2.717099255,0.4289018135,0.4428516335,-0.656458162,0.726574516,1.516017477,0.226693565,0.596662467,0.1277473,0.172312723,0,0.114823562,0,-0.1837877275,0.5890940405,-0.218594421,0.302100982,-0.084232838,0.704914859,2.465982713,0.7984101805,0.923557148,0,-0.324827939,-0.256287749,-0.0652506315,-0.135001974,0.00360957100000001,0.4088834955,-0.9333087985,0.345868068,0.0992686320000001,0.341467676,-0.206121559,1.249051158,-0.167564763,0.362368977,1.3609860115,0.0765933385,-1.274996114,0.0461303485,0.360880817,0.041190151,0,0.230849363,0.129071229,0.524445794,-2.1593714075,0.14669653,0.4321766115,1.368525728,0.556587574,0.134352925,0.104241595,-0.324263244,0.973060026,0.110239259,0.012973269,0.3356347485,-0.120533869,0.00967799200000002,0.034783967,0.060775628,-0.016388673,0.220180973,0.286325312,-0.9945885665,-0.0114957915,0.421890432,-0.3756188935,-0.00604740799999998,-0.1733007675,0.165209542,-0.433458132,0.0381905145000001,0.0796853325,0.276975439,0.2285320495,0,0.142186613,5.72695e-05,0.045036617,-0.457559231,-0.262854305,0,0.1030883475,0.5731415145,1.812163149,0.092425831,0.215383975,0.021852456,0.218929161,0.023017375,0.113766015,0.30426937,-0.850752298,0,0,0,0,-0.160071893,-0.136493577,-0.622410713,-0.249867111,0.16153542,0.379852651,0.468929654,0.30285882,-0.7394731715,0.717793919,0,0.916516228,-0.2295434725,-0.323015277,0.496070478,0.591850107,-0.08073391,-0.457316852,0.0477315725,-1.772712513,0.0907799035,0.7252534495,0,-1.038400751,-0.21122813,-0.039904684,0.4019320045,0.1277185395,-0.020587894,-0.206901981
"set132_219",0.113644892,0.063749871,0.636351913,0.789486263,0.4740585585,0.0680812805,0.0680812805,-0.804645955,-0.455900879,0,0.1034610645,0.7801112755,0.2774233995,0.147577274,0.0641667265,0.2023095345,1.6721093835,-0.25629741,-0.128025904,0,0.740253552,0,0.070748798,0.1745772145,-0.0520742285,0.9618655245,-0.094090395,-0.163041675,-0.4607558545,-0.1779853915,0.8172312255,0.190532777,0,0.2347996735,1.694465191,0,0.315285931,-0.462213678,1.127587458,0.6265944905,0.0169591245,-0.272652198,0.224718575,0.217205323,0.37290576,-0.295890379,-1.60245952,-0.0782936295,0.402013762,-0.241272763,-0.1722541795,0.596661731,1.5029666865,-0.210051649,-0.064586733,0,0.1881221435,0,-2.786797516,0.062027076,0.2778365525,-0.8139701795,-0.274658094,1.093818764,-0.022145668,0.393143122,0.012842439,0.3174870085,0,-0.035524208,0,-0.4141621965,0.5831703625,-0.098898373,0.235436413,0.087519937,0.839494861,1.811543418,0.419144651,1.072082815,0,-0.3799015405,-0.065271382,-0.1926332165,0.030555218,0.038043741,0.249649082,-0.904389275,0.395760952,0.15312608,0.013720196,-0.206394663,0.731398459,0.052305562,0.27930873,0.7129299915,-0.1151267695,-0.46411535,-0.0775170785,-0.10225344,-0.001681423,0,-0.129229471,-0.402437528,0.26848963,-0.342227592,0.158347744,0.3531339945,0.4951740435,0.60607573,0.0215305445,0.4732394535,-0.373368726,0.063779976,0.169170001,-0.05831065,-0.229399729,-0.232615568,0.080448082,0.237195697,0.0868335575,0.0460149585,0.257825165,0.333511166,-1.4165499075,0.0646414415,0.562409814,-0.2643566045,0.033571061,-0.0783869090000001,0.166477495,-0.058063401,0.21219546,0.205308753,0.3574378955,0.444053223,0,0.148861005,0.0169591245,0.188917369,-0.247372253,0.060254441,0,0.0651975065,0.0227810135000001,2.040940584,0.270294439,-0.0880127,-0.6140433865,-0.0528622575,-0.317454991,-0.064052479,-0.186760006,-0.6365005945,0,0,0,0,-0.164835781,0.029861201,-0.663500894,-0.1750242675,-0.0175681945,-0.092833585,-0.2814466385,0.334977156,-0.3858459585,0.758997616,0,0.208938445,-0.0652417815,-0.094372428,0.37253791,0.519619994,-0.024580864,-0.489683156,0.101505597,-0.326351709,-0.020178391,0.556958557,0,-0.9961962335,-0.033331725,0.050934662,-0.1428931525,0.011593971,0.00271617099999999,-0.184581734
"set132_220",0.127748083,0.127263828,1.0290137925,0.8640244465,0.2790489515,-0.1744635025,-0.1744635025,-0.9135135,-0.628330519,0,0.2058366485,1.7551997905,0.5508993245,0.120798191,0.1755670835,0.2640402115,1.7007353295,-0.309449461,-0.301776272,0,0.2964508885,0,0.018909948,0.52237787,0.088523185,1.5060735305,0.065617221,-0.185969484,-0.3067233595,-0.336560001,0.471523439,0.465934484,0,0.2079683295,1.775858428,0,0.2706837715,-0.2280087585,0.227239428,0.4986796775,0.0206833315,-0.233547709,0.280454803,0.3033610585,-0.247089539,-0.257441146,-1.519580697,-0.284952902,0.894816075,-0.489153481,-0.1459018935,0.7620455515,1.5374237485,-0.2829756185,0.0955479705,0,0.573726495,0,-2.584870413,0.054812275,0.1905009795,-0.646189406,0.1844679985,1.253781499,0.2785793635,0.4588441825,0.138183944,0.349133032,0,-0.0539821105,0,-0.171862632,0.699716811,-0.118094751,0.2131052585,0.0164884885,0.847196159,2.090205208,0.5222361905,1.0755591485,0,-0.2879951685,-0.192297271,-0.0309207495,0.082556795,0.014541036,0.3983515665,-0.8791101375,0.6823282235,0.2920078795,0.066585263,-0.362734442,0.9122564185,-0.153753034,0.260276322,1.128785773,-0.0633041955,-0.650757665,-0.001849135,-0.012254429,-0.0118008925,0,0.017772126,-0.330519709,0.111714208,-1.0961803855,0.060140899,0.973355409,0.923323432,0.528038333,0.280473335,0.12206632,-0.3776546525,0.4259264605,0.139170358,-0.177041927,0.21752955,-0.215643831,0.0578413795,0.4135454305,-0.352817284,0.0866768175,0.3322031805,0.364030124,-1.236239596,0.090011498,0.482978126,-0.1736684675,0.133988323,-0.749740764,0.198790624,-0.161841244,0.3204180245,0.0264359405,0.5718906465,0.3040472635,0,0.10571003,0.0206833315,0.171737932,-0.382962302,0.00661030250000001,0,0.0777894925,0.433148058,1.858803918,0.296283597,0.0423986615,-0.136434415,0.333253822,-0.261819455,-0.4302778315,-0.0760192635,-0.4934181285,0,0,0,0,-0.181230584,0.0343393955,-0.611237679,-0.0690268905,0.1550067755,0.1076553085,0.425925597,0.254738931,-0.7128191935,1.015241791,0,0.59261341,-0.2752935195,-0.299520681,0.28712602,0.58636242,0.0137642365,-0.4159659835,-0.2417375045,-0.7569613085,0.1242956655,0.224781794,0,-0.975603837,-0.066997632,0.1006355925,0.0264320514999999,0.4042605255,0.014862581,-0.261107264
"set132_221",-0.068007704,0.061432651,0.630612449,0.8277613915,0.6217271885,0.0303453985,0.0303453985,-0.4661454215,-0.771389359,0,0.9422919805,2.471637524,1.102086782,0.160022772,0.3401545095,0.1309686055,1.6974625295,-0.258601035,-0.4529657545,0,0.386067812,0,0.038823172,0.2674701425,0.0799736485,1.605553083,-0.172384267,-0.256023177,-0.1511643435,-0.429687168,0.6546940285,0.6618562405,0,0.1871799245,1.968012809,0,0.2955859805,-0.3267832915,0.432248923,0.6504414505,0.0019230235,-0.095589357,0.223750652,0.424990273,0.140665278,-0.232040105,-1.1102539,-0.050379548,1.7126216585,-0.354364855,-0.1715523385,1.117957039,3.0036814925,-0.177830457,-0.092681244,0,0.5521548575,0,-2.311762762,-0.0291510464999999,0.4103475945,-0.0582664780000001,0.346107931,1.5983112175,1.27573657,0.4188018825,0.175034723,0.149165998,0,-0.0922194585,0,-0.2667826205,0.901273006,-0.055047998,0.36974479,-0.152091349,0.911308376,2.6540350405,0.2816234965,1.028157383,0,-0.33208044,-0.237805178,0.099932548,0.208780985,0.057902855,0.603543434,-0.9403360615,0.764562678,0.1785904525,0.230747426,-0.275933629,1.4105499325,-0.0130558345,0.160179206,1.2016545355,-0.00152985850000001,-1.221958916,-0.0335064625,-0.17297173,0.0686271205,0,-0.136016748,0.102957284,0.471070793,-0.7035025135,0.231564779,0.8990221,1.0305324855,0.634389278,0.05186588,0.330847806,-0.3927037125,0.255695228,0.05742134,-0.105700617,0.5420253355,-0.331190994,0.0476964935,0.5992421025,0.2920739625,-0.0931991715,0.2877492725,0.330441038,-1.2806133255,0.048853705,0.417177929,-0.1863229275,-0.139056621,-0.178628497,0.336439836,-0.359153964,0.319254494,-0.1722704815,0.6608980665,0.38438064,0,0.177971884,0.0019230235,0.099170468,-0.226476865,0.00432752,0,0.1782607695,0.545054156,1.840864296,0.112536139,0.2386652755,0.2982684235,0.7105033565,0.129260674,-0.1880393055,0.221490817,-0.3806324535,0,0,0,0,0.076558313,-0.119226072,-0.371843432,0.38922256,0.484836753,0.855708189,0.9793730275,0.252096921,-0.9274744385,1.323739514,0,0.837598673,-0.2454118815,-0.323510123,0.280591637,0.602234155,0.00184862249999998,-0.5663002085,0.0468522825,-1.259739567,0.5979633975,0.2325032,0,-1.386955564,-0.239318017,-0.0537029175,0.2429035045,0.3954672945,0.00266917700000001,-0.127347133
"set132_222",0.04292885,0.126354481,0.528526842,0.9059983575,0.4840632065,-0.0477244715,-0.0477244715,-0.9541414705,-0.943274047,0,0.5140147695,1.701863801,0.485064281,0.157185358,0.1489754335,0.2082217035,1.6859987575,-0.312283587,-0.3390925865,0,0.382947089,0,0.055955872,0.0681374845,-0.0192780995,1.0611137965,-0.129269256,-0.170911942,-0.3347776205,-0.272107901,0.707844068,0.4326032,0,0.2354154735,1.675747957,0,0.316105097,-0.3810693585,0.393233434,0.627124445,-0.0164721655,-0.388507067,0.244961238,0.335567884,-0.248907398,-0.183291383,-1.16226086,-0.1592194175,0.8602674485,-0.283455577,-0.0435433615,0.6451589575,1.8236155795,-0.0986049515,-0.0297628185,0,0.580687246,0,-2.690114714,0.101478461,0.2377713455,-0.599348578,-0.1266159645,1.3688905855,0.353874445,0.4543043265,0.105649635,0.287261994,0,-0.04706404,0,-0.297093706,0.623521117,-0.077601822,0.3091113325,-0.0516507365,0.8980781335,2.208388551,0.3324819535,1.0149607325,0,-0.3754878,-0.217398972,-0.0506541805,0.070582961,0.027101717,0.391678037,-0.9004801325,0.617273234,0.193348696,-0.032414118,-0.2284511665,0.874742665,-0.0708897625,0.190837857,1.0905384525,0.0183080345,-0.719121826,-0.075294552,-0.12807982,0.0146947965,0,-0.070657016,-0.142732797,0.410918627,-0.311602275,0.160775982,0.8232706965,0.6122861495,0.530172276,0.2104291975,0.3318536755,-0.333382542,0.109196987,0.1241573675,-0.099796121,0.1807825465,-0.355175421,0.063469557,0.447676395,-0.0834527185,-0.0446120215,0.350413382,0.401220675,-1.135431709,0.041944519,0.418796093,-0.2715148205,-0.037051434,-0.127693827,0.100899954,-0.12083019,0.2087980865,0.0587550915,0.5045742795,0.2890041295,0,0.064180806,-0.0164721655,0.092546292,-0.286911109,0.0455775455,0,0.1362819135,0.2232876705,2.006339766,0.201768186,0.0155126540000001,-0.1180897085,0.5175479535,-0.044401024,-0.229558806,-0.2049984695,-0.482408482,0,0,0,0,-0.128547837,-0.0366770335,-0.5736704,-0.0642940490000001,0.127880934,0.204629585,0.437489783,0.277704328,-0.684260906,0.944462178,0,0.570077214,-0.2444842915,-0.19912639,0.33469452,0.545758316,0.0628896855,-0.5721545225,-0.0864031925,-0.526564716,0.1309067745,0.316000313,0,-1.228137136,-0.121387719,-0.0220747175,-0.0557140565,0.4053193855,0.0158097415,-0.243093618
"set132_223",-0.008079557,0.087058507,0.5030820315,0.790741575,0.2363784425,-0.1278231905,-0.1278231905,-0.590481502,-0.687091996,0,0.4203844945,1.099634995,-0.493351595,0.128515174,0.0482015465,0.1757979715,1.6060398525,-0.306155382,0.0836587005,0,0.526358077,0,0.068062545,0.099345752,0.023495187,1.298689929,-0.141871169,-0.247505568,-0.2870253185,-0.202815797,0.513511593,0.5052532465,0,0.2162937125,2.019798867,0,0.269227659,-0.428896064,0.747141347,0.43342335,-0.0128061455,-0.131686016,0.25095936,0.356122945,-0.373597452,-0.149560433,-1.520232914,-0.09260402,0.6135995785,-0.596447652,0.334762488,0.708838529,2.09614795,-0.1734017175,-0.0808683285,0,0.564547534,0,-2.84945084,0.0780595055,-0.236660552,-0.661867118,0.083800787,1.3404663915,0.0582071994999999,0.363731208,0.15627082,0.2372892375,0,-0.069033421,0,-0.240539696,0.7198556145,-0.057288737,0.2523433795,-0.1325355155,0.826146358,1.8076803815,0.285257747,0.60761207,0,-0.542810514,-0.2440225885,-0.08551698,0.160535632,0.073513027,0.1315168585,-0.877606044,0.0562198195,0.272686797,-0.043504243,-0.255397602,0.248488095,-0.306598542,0.093286273,0.413433421,-0.1590488895,-0.501583501,0.00728743,-0.163115956,0.049439762,0,-0.086355786,-0.224821286,0.260990081,-0.319770738,0.229716876,0.811787981,0.5514667375,0.4767601685,0.45354066,0.094712878,-0.698007324,0.1265123875,0.078072472,-0.084804866,0.0614874825,-0.364688321,0.07984921,0.465051168,-0.1727775935,-0.084707492,0.374540364,0.149370321,-1.238741823,0.077992558,0.440035422,-0.498906345,-0.14477299,-0.872739707,0.209387778,-0.0593954299999999,-0.073184716,-0.0408510685,0.4655146015,0.2576953685,0,0.124945346,-0.0128061455,0.039022342,-0.305945653,0.1207946525,0,0.1409074135,0.3584694705,1.958728975,0.212446331,-0.048086801,-0.1504946635,0.5004952375,-0.176406378,-0.41192362,-0.1789558845,-0.0558324130000001,0,0,0,0,-0.119393208,-0.0772769165,-0.553720715,-0.4206939235,0.0165257265,0.2542374955,-0.0993832215,0.255024468,-0.5295626535,0.8258835,0,0.578755477,-0.4238058065,-0.262150882,0.314081859,0.466918724,0.192769337,-0.50455415,-0.039345555,-0.3312034095,0.123011509,0.206079099,0,-1.0188102395,-0.23964916,-0.035224812,-0.297383137,0.342414199,0.041529412,-0.274889259
"set132_224",0.092386787,0.064669447,0.694185159,0.9364078905,0.2530657305,-0.2669155885,-0.2669155885,-0.752963361,-0.764369842,0,0.263963594,1.4908646415,-0.1567975015,0.179707895,0.1021903755,0.241948356,1.717089735,-0.384776225,-0.1006006865,0,0.5787554065,0,0.030565419,0.2119257095,-0.030877029,1.37859985,-0.137402369,-0.172207053,-0.263181113,-0.3874518255,0.448636815,0.499041124,0,0.238458665,1.78706214,0,0.361752533,-0.38957885,0.782652126,0.334602501,-0.041295334,-0.296142919,0.338671874,0.2118139705,-0.264680804,-0.198957289,-1.3905800255,-0.2071016885,0.6889504105,-0.527427096,0.2224907135,0.69839171,2.197173872,-0.149617245,0.016586162,0,0.6089864835,0,-2.790909991,0.147358265,0.0938963974999999,-0.5236939,0.031921732,1.4303284045,0.0891613479999999,0.3740827175,0.134770447,0.292587713,0,-0.082115545,0,-0.2357641065,0.7658253915,-0.034532787,0.2129428855,-0.358710876,0.8998494385,1.769376318,0.3870960345,0.8103078965,0,-0.295833577,-0.0446058725,-0.056748794,0.052536325,0.084491031,0.3091284655,-0.7129688815,0.257725391,0.284908483,-0.037610477,-0.3171776325,0.5198683535,-0.262909104,0.155776093,0.6091573545,-0.019433956,-0.57493315,-0.131783881,-0.098419115,0.0098430955,0,-0.075704435,-0.199695276,0.269755398,-0.596871738,0.188579778,1.0054167385,0.641917379,0.6095260305,0.4148182175,0.0701857995,-0.268135679,0.29089282,0.1395893185,-0.089441117,0.0594171889999999,-0.364246604,0.013809156,0.229311863,-0.0575183135,0.0380086225,0.3965249365,0.257608891,-1.128102458,0.140085178,0.450287586,-0.2327748055,-0.107486014,-0.2548745975,0.152530388,-0.0252742619999999,0.180910017,0.0647511545,0.4278733555,0.193807461,0,0.141863095,-0.041295334,0.119681144,-0.247299147,-0.034491221,0,0.170905042,0.4232181565,1.910113792,0.212121537,-0.106217798,-0.0584471035,0.3720019955,-0.118124902,-0.131446648,-0.151712435,-0.417415145,0,0,0,0,-0.125274044,0.0646071005,-0.612204807,0.00637162849999995,0.2377831115,0.16909873,0.175071761,0.298864828,-0.6845476315,0.929773789,0,0.682919602,-0.399143926,-0.239447861,0.38453802,0.587400491,0.0147861845,-0.4794715715,-0.1310362185,-0.504847393,0.2194339855,0.1327236175,0,-0.8441941245,-0.197125804,-0.00938176850000002,-0.0891624345000001,0.4251112935,0.0467153535,-0.27627202
